epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,528.099,0.46102,0.38308,0.8745,0.90762,0.66889,0.69318,0.62758,0.54657,1.03299,0.87773,0.0005941,0.0005941,0.0005941
43,542.728,0.43959,0.36463,0.85751,0.88315,0.62569,0.66774,0.61663,0.50936,1.03275,0.86495,0.0005842,0.0005842,0.0005842
44,552.252,0.46467,0.38924,0.87477,0.89598,0.65198,0.66347,0.60368,0.50844,1.07808,0.85809,0.0005743,0.0005743,0.0005743
45,567.007,0.43904,0.36525,0.85614,0.84142,0.66614,0.70131,0.63378,0.50351,1.0482,0.85497,0.0005644,0.0005644,0.0005644
46,577.603,0.44074,0.38615,0.85662,0.83052,0.65524,0.69776,0.6287,0.51873,0.96984,0.85894,0.0005545,0.0005545,0.0005545
47,594.916,0.4442,0.3655,0.8583,0.83181,0.6715,0.68964,0.62093,0.52083,1.06793,0.85833,0.0005446,0.0005446,0.0005446
48,610.289,0.44947,0.37376,0.8747,0.86713,0.65374,0.68869,0.62873,0.5424,0.99055,0.88021,0.0005347,0.0005347,0.0005347
49,619.843,0.43588,0.35671,0.85205,0.8244,0.63217,0.68647,0.6293,0.51737,1.05087,0.86517,0.0005248,0.0005248,0.0005248
50,635.195,0.45332,0.34194,0.86407,0.72118,0.65762,0.69239,0.6262,0.52357,0.94421,0.8609,0.0005149,0.0005149,0.0005149
51,644.73,0.42264,0.36003,0.85756,0.84389,0.62456,0.69774,0.62864,0.52381,0.99796,0.85865,0.000505,0.000505,0.000505
52,659.741,0.42828,0.33648,0.85929,0.77093,0.666,0.69409,0.62372,0.53709,1.05744,0.86538,0.0004951,0.0004951,0.0004951
53,670.054,0.43224,0.36527,0.84748,0.7783,0.68722,0.68468,0.61941,0.50922,1.05471,0.84432,0.0004852,0.0004852,0.0004852
54,683.613,0.43063,0.36505,0.86046,0.85211,0.59188,0.678,0.61179,0.51358,0.97674,0.84915,0.0004753,0.0004753,0.0004753
55,695.47,0.44042,0.37063,0.85449,0.8614,0.6514,0.66774,0.59696,0.54307,0.93769,0.85933,0.0004654,0.0004654,0.0004654
56,707.504,0.43792,0.34825,0.86366,0.89215,0.62921,0.68776,0.62561,0.49697,0.92202,0.84483,0.0004555,0.0004555,0.0004555
57,721.019,0.42196,0.33838,0.85553,0.57918,0.7949,0.66573,0.59707,0.50823,0.98415,0.8469,0.0004456,0.0004456,0.0004456
58,731.723,0.40996,0.3328,0.85441,0.62335,0.72373,0.69701,0.627,0.50952,0.954,0.84782,0.0004357,0.0004357,0.0004357
59,746.401,0.43349,0.35525,0.86014,0.84436,0.70455,0.70575,0.63859,0.50045,0.93897,0.84655,0.0004258,0.0004258,0.0004258
60,756.314,0.42364,0.32873,0.85404,0.83184,0.69476,0.69274,0.63841,0.48293,0.93753,0.8371,0.0004159,0.0004159,0.0004159
61,770.862,0.40462,0.32399,0.84512,0.84043,0.69243,0.69683,0.63482,0.50741,0.90503,0.84581,0.000406,0.000406,0.000406
62,780.48,0.42773,0.33616,0.85811,0.85109,0.6808,0.71034,0.6424,0.49619,0.94901,0.84554,0.0003961,0.0003961,0.0003961
63,795.13,0.40436,0.30711,0.84949,0.89401,0.61949,0.69254,0.6332,0.51687,1.03247,0.85989,0.0003862,0.0003862,0.0003862
64,805.626,0.41175,0.3387,0.84975,0.83045,0.62786,0.69032,0.64254,0.50485,1.02933,0.84857,0.0003763,0.0003763,0.0003763
65,818.88,0.42436,0.34989,0.85773,0.61618,0.68309,0.66184,0.60424,0.49878,1.12886,0.84612,0.0003664,0.0003664,0.0003664
66,830.597,0.42507,0.33122,0.84866,0.63818,0.68539,0.6879,0.63127,0.49199,1.13014,0.8505,0.0003565,0.0003565,0.0003565
67,842.713,0.42075,0.32524,0.85513,0.82754,0.68228,0.69957,0.64728,0.50561,1.04511,0.86081,0.0003466,0.0003466,0.0003466
68,855.591,0.40547,0.32131,0.83718,0.8181,0.6965,0.68747,0.62965,0.48898,1.06985,0.84465,0.0003367,0.0003367,0.0003367
69,865.913,0.42926,0.33197,0.85792,0.78134,0.70064,0.68086,0.62069,0.49753,1.06207,0.84524,0.0003268,0.0003268,0.0003268
70,880.56,0.41372,0.3161,0.84886,0.85127,0.66513,0.68607,0.62524,0.48806,1.0339,0.83274,0.0003169,0.0003169,0.0003169
71,890.395,0.41066,0.32557,0.84656,0.81326,0.7028,0.68705,0.62771,0.49156,1.04017,0.83038,0.000307,0.000307,0.000307
72,905.907,0.41187,0.34435,0.85008,0.83813,0.66564,0.7004,0.6445,0.4727,1.00671,0.82545,0.0002971,0.0002971,0.0002971
73,921.652,0.40998,0.3148,0.86091,0.86015,0.67772,0.72346,0.6615,0.47824,0.97753,0.83232,0.0002872,0.0002872,0.0002872
74,933.245,0.40221,0.31562,0.83934,0.76385,0.78283,0.77822,0.71228,0.48447,0.94115,0.84086,0.0002773,0.0002773,0.0002773
75,947.891,0.43182,0.33309,0.85938,0.73752,0.79664,0.76699,0.68759,0.48956,0.95698,0.84288,0.0002674,0.0002674,0.0002674
76,957.865,0.39812,0.29621,0.84025,0.68016,0.76972,0.72507,0.66773,0.47995,1.02351,0.83743,0.0002575,0.0002575,0.0002575
77,972.636,0.39472,0.30865,0.84561,0.88878,0.61751,0.68489,0.62275,0.4918,1.01286,0.83903,0.0002476,0.0002476,0.0002476
78,982.345,0.39758,0.30888,0.85363,0.81065,0.63943,0.67525,0.61415,0.48364,1.04178,0.83706,0.0002377,0.0002377,0.0002377
79,996.595,0.41366,0.32947,0.85684,0.82389,0.63038,0.67154,0.61511,0.49933,1.03745,0.84626,0.0002278,0.0002278,0.0002278
80,1007.33,0.40227,0.32844,0.85068,0.81391,0.67382,0.67879,0.62803,0.47567,1.01836,0.8405,0.0002179,0.0002179,0.0002179
81,1021.11,0.40582,0.31427,0.84881,0.59293,0.77086,0.69769,0.63638,0.49874,1.01663,0.84736,0.000208,0.000208,0.000208
82,1031.85,0.40159,0.32483,0.84687,0.6181,0.80497,0.72381,0.66434,0.4855,0.98882,0.84342,0.0001981,0.0001981,0.0001981
83,1045.43,0.42344,0.31592,0.86573,0.82181,0.69808,0.7613,0.68006,0.485,0.9426,0.8376,0.0001882,0.0001882,0.0001882
84,1058.03,0.38498,0.29477,0.8418,0.8086,0.7103,0.76683,0.69014,0.46494,0.90955,0.82528,0.0001783,0.0001783,0.0001783
85,1069.54,0.39312,0.30749,0.8523,0.814,0.6958,0.72465,0.66351,0.46644,0.90363,0.83202,0.0001684,0.0001684,0.0001684
86,1083.34,0.38134,0.30501,0.83675,0.83456,0.68249,0.69203,0.63372,0.46873,0.92342,0.83299,0.0001585,0.0001585,0.0001585
87,1093.66,0.3934,0.29229,0.84386,0.83476,0.66535,0.68896,0.62968,0.49044,0.95015,0.84522,0.0001486,0.0001486,0.0001486
88,1107.95,0.36933,0.28804,0.84487,0.78869,0.68061,0.68332,0.62548,0.48643,0.94254,0.8446,0.0001387,0.0001387,0.0001387
89,1118.05,0.3933,0.28215,0.84703,0.8379,0.62107,0.68237,0.62501,0.48678,0.93687,0.84375,0.0001288,0.0001288,0.0001288
90,1132.99,0.37679,0.29386,0.84403,0.83422,0.61712,0.69581,0.63723,0.49573,0.93134,0.84407,0.0001189,0.0001189,0.0001189
91,1145.79,0.35216,0.24487,0.83127,0.85985,0.61857,0.69452,0.63185,0.47916,0.96676,0.83632,0.000109,0.000109,0.000109
92,1158.99,0.35632,0.25248,0.83598,0.85212,0.62506,0.6823,0.62456,0.46497,0.97003,0.83234,9.91e-05,9.91e-05,9.91e-05
93,1169.24,0.34352,0.25448,0.82136,0.83755,0.616,0.68136,0.62085,0.4734,0.98524,0.83673,8.92e-05,8.92e-05,8.92e-05
94,1182.49,0.34062,0.24542,0.83858,0.84139,0.60172,0.67927,0.62494,0.47247,1.01174,0.83662,7.93e-05,7.93e-05,7.93e-05
95,1193.8,0.33477,0.25106,0.82768,0.80842,0.63384,0.68235,0.62888,0.46876,1.00976,0.835,6.94e-05,6.94e-05,6.94e-05
96,1205.68,0.33761,0.24421,0.82269,0.80849,0.63743,0.68451,0.63078,0.47386,0.99911,0.83517,5.95e-05,5.95e-05,5.95e-05
97,1218.38,0.32873,0.23706,0.82262,0.80238,0.64196,0.68773,0.63286,0.48065,0.98191,0.83587,4.96e-05,4.96e-05,4.96e-05
98,1233.3,0.32457,0.23233,0.81089,0.80532,0.63578,0.68524,0.63195,0.47688,0.97477,0.83422,3.97e-05,3.97e-05,3.97e-05
99,1248.19,0.33383,0.229,0.83558,0.81647,0.63243,0.68442,0.62928,0.4718,0.97567,0.83209,2.98e-05,2.98e-05,2.98e-05
100,1258.03,0.35318,0.25569,0.83597,0.81935,0.62899,0.67633,0.62912,0.47117,0.98407,0.8315,1.99e-05,1.99e-05,1.99e-05
